Var1,ASP14_i10_plus_midlow
r1977,1.053
r1978,1.053
r1979,1.053
r1980,1.053
r1981,1.053
r1982,1.053
r1983,1.053
r1984,1.053
r1985,1.053
r1986,1.053
r1987,1.053
r1988,1.053
r1989,1.053
r1990,1.053
r1991,1.053
r1992,NaN
r1993,NaN
r1994,NaN
r1995,NaN
r1996,NaN
r1997,NaN
r1998,NaN
r1999,NaN
r2000,NaN
r2001,NaN
r2002,NaN
r2003,NaN
r2004,NaN
r2005,NaN
r2006,NaN
r2007,NaN
r2008,NaN
r2009,NaN
r2010,NaN
r2011,NaN
r2012,NaN
r2013,NaN
r2014,NaN
r2015,NaN
r2016,NaN
r2017,NaN
r2018,NaN
r2019,NaN
r2020,NaN
r2021,NaN
r2022,NaN
r2023,NaN
r2024,NaN
r2026,NaN
r2027,NaN
r2028,NaN
r2029,NaN
r2030,NaN
r2031,NaN
r2032,NaN
r2034,NaN
r2035,NaN
r2036,NaN
r2037,NaN
r2038,NaN
r2039,NaN
r2040,NaN
r2041,NaN
r2042,NaN
r2043,NaN
r2044,NaN
r2045,NaN
r2046,NaN
r2047,NaN
r2048,NaN
r2049,NaN
r2050,NaN
r2051,NaN
r2052,NaN
r2053,NaN
r2054,NaN
r2055,NaN
r2056,NaN
r2057,NaN
r2058,NaN
r2059,NaN
r2060,NaN
r2061,NaN
r2062,NaN
r2063,NaN
r2064,NaN
r2065,NaN
r2066,NaN
r2067,NaN
r2068,NaN
r2069,NaN
r2070,NaN
r2071,NaN
r2079,2.421
r2080,2.421
r2081,2.421
r2083,2.421
r2084,2.421
r2093,2.421
r2094,2.421
r2095,2.421
r2097,2.421
r2099,2.421
r2101,2.421
r2102,2.421
r2104,2.421
r2105,2.421
r2107,2.421
r2110,2.421
r2112,2.421
r2114,2.421
r2117,2.421
r2119,2.421
r2128,2.421
r2137,NaN
r2308,NaN
r2309,NaN
r2371,1.499
r2372,1.499
r2373,1.499
r2374,1.499
r2375,1.499
r2376,1.499
r2377,1.499
r2378,1.499
r2379,1.499
r2380,1.499
r2381,1.499
r2382,1.499
r2384,1.499
r2385,1.499
r2386,1.499
r2387,1.499
r2388,1.499
r2389,1.499
r2390,1.499
r2391,1.499
r2392,1.499
r2393,1.499
r2394,1.499
r2395,NaN
r2396,NaN
r2397,NaN
r2398,NaN
r2399,NaN
r2400,NaN
r2401,NaN
r2402,NaN
r2403,NaN
r2404,NaN
r2405,NaN
r2406,NaN
r2407,NaN
r2408,NaN
r2409,NaN
r2410,NaN
r2411,NaN
r2412,NaN
r2413,NaN
r2416,NaN
r2419,NaN
r2420,NaN
r2439,NaN
r2471,NaN
r2472,NaN
r2473,NaN
r2516,2.421
r2519,NaN
r2520,1.446
r2521,NaN
r2525,NaN
r2526,NaN
r2532,NaN
r2534,NaN
r2535,NaN
EX_sprm_e,NaN
RE0383C,2.214
RE0453C,NaN
RE0688E,NaN
RE0689E,NaN
RE0690E,NaN
RE0691C,NaN
RE0827E,NaN
RE0828E,NaN
RE1233C,NaN
RE1897C,NaN
RE1898C,NaN
RE2349C,NaN
RE2954C,3.105
RE3367E,NaN
EX_citr_L_e,NaN
EX_C02470_e,NaN
EX_CE1935_e,NaN
EX_CE1940_e,NaN
EX_CE1943_e,NaN
EX_CE1936_e,NaN
EX_CE1939_e,NaN
CITt4_4,NaN
GLYt7_311_r,NaN
HCO3_NAt,1.884
PIt8,2.487
PIt9,NaN
PROt4_2_r,NaN
CYOOm3,1.615
biomass,NaN
ALAATB0tc,NaN
ALAyLATthc,1.981
ARGATB0tc,NaN
ASNATB0tc,NaN
ASNPHELAT2tc,1.981
BALABETAtc,0.814
CHOLESTTDe,NaN
CYSATB0tc,NaN
CYSPHELAT2tc,1.981
CYSSNAT5tc,NaN
GLCSGLT1le,NaN
GLNATB0tc,NaN
GLNyLATthc,1.981
GLYSNAT5tc,NaN
HISCAT1,1.439
HISSNAT5tc,NaN
HISyLATtc,1.981
HISyLATthc,1.981
ILEATB0tc,NaN
ILELAT1tc,0.624
ILEPHELAT2tc,1.981
LEUATB0tc,NaN
LEUPHELAT2tc,1.981
LEUyLAThtc,1.981
LYSATB0tc,NaN
METATB0tc,NaN
METyLATthc,1.981
MTHFTe,NaN
OAADC,NaN
ORNALArBATtc,NaN
ORNLEUrBATtc,NaN
PHEATB0tc,NaN
PHEyLATthc,1.981
PROIMINOtc,NaN
SERATB0tc,NaN
THRATB0tc,NaN
THRPHELAT2tc,1.981
TRPATB0tc,NaN
TYRATB0tc,NaN
TYRPHELAT2tc,1.981
VALATB0tc,NaN
VALLAT1tc,0.624
VALPHELAT2tc,1.981
3AIB_Dtm,NaN
3HCO3_NAt,NaN
ADNK3,NaN
ADNK4,NaN
AHCYStd,NaN
AMETtd,NaN
ASPPROASCT1,1.013
ASPte,NaN
CHSTEROLtrc,NaN
DHAPtc,NaN
FADH2ETC,2.263
G6PDH2c,1.043
GLU5SAtmc,NaN
GLUPROASCT1,1.013
GLY3Pt,NaN
GLYC3PFADm,NaN
GLYC3Ptmc,NaN
GNDc,2.51
LACLt,NaN
MTHFR3,NaN
NADtx,NaN
P5CR,1.184
PGLc,0.805
PPItm,NaN
PRO1x,NaN
PTCRTD,NaN
RPEc,1.908
SPMTDe,NaN
SPRMTDe,NaN
34HPPte,NaN
3MOBte,NaN
3MOPte,NaN
4MOPte,NaN
5MTAte,NaN
AHCYSte,NaN
EX_34hpp,NaN
EX_3mob_e,NaN
EX_3mop_e,NaN
EX_4mop_e,NaN
EX_5mta_e,NaN
EX_ahcys_e,NaN
EX_mal_L_e,NaN
MAL_Lte,NaN
OROTGLUt,NaN
LMPD_atp_c_1_10,NaN
LMPD_gtp_c_1_9,NaN
LMPD_pail_hs_c_1_10,NaN
LMPD_ctp_c_1_5,NaN
LMPD_pchol_hs_c_1_9,NaN
LMPD_pe_hs_c_1_9,NaN
LMPD_chsterol_c_1_21,NaN
LMPD_pglyc_hs_c_1_11,NaN
LMPD_clpn_hs_c_1_12,NaN
LMPD_dgtp_n_1_11,NaN
LMPD_dctp_n_1_7,NaN
LMPD_datp_n_1_12,NaN
LMPD_dttp_n_1_11,NaN
LMPD_ps_hs_c_1_8,NaN
LMPD_sphmyln_hs_c_1_12,NaN
